name,state,pop,area,cases,case_rate
Le Sueur,Minnesota,28887,448,20,7
Harrison,Indiana,40515,484,28,7
Monroe,New York,741770,657,512,7
Pierce,Washington,904980,1669,620,7
Clinton,Michigan,79595,566,54,7
Livingston,Michigan,191995,565,129,7
Monroe,Michigan,150500,549,101,7
Lamoille,Vermont,25362,458,17,7
Kay,Oklahoma,43538,919,29,7
Charleston,South Carolina,411406,916,274,7
Calcasieu,Louisiana,203436,1063,135,7
DeKalb,Georgia,759297,267,500,7
Union,Florida,15237,243,10,7
Greene,Georgia,18324,387,12,7
Providence,Rhode Island,638931,409,418,7
Hall,Nebraska,61353,546,40,7
Switzerland,Indiana,10751,220,7,7
Bennington,Vermont,35470,674,23,6
Putnam,Tennessee,80245,401,52,6
Miami,Ohio,106987,406,69,6
Lake,Indiana,485493,498,313,6
McKinley,New Mexico,71367,5449,46,6
Broadwater,Montana,6237,1192,4,6
Washington,Oklahoma,51527,415,33,6
Yazoo,Mississippi,29690,922,19,6
Henry,Georgia,234561,322,150,6
DuPage,Illinois,922921,327,590,6
DeSoto,Mississippi,184945,476,118,6
Palm Beach,Florida,1496770,1969,954,6
Irwin,Georgia,9416,354,6,6
Johnson,Iowa,151140,614,96,6
Lucas,Ohio,428348,340,272,6
Arlington,Virginia,236842,25,150,6
Jackson,Indiana,44231,509,28,6
Muscatine,Iowa,42664,437,27,6
Cuyahoga,Ohio,1235072,457,781,6
Lincoln,Georgia,7921,210,5,6
Adair,Oklahoma,22194,573,14,6
Madison,Mississippi,106272,714,67,6
Hancock,Mississippi,47632,473,30,6
Randolph,Illinois,31782,575,20,6
Steuben,New York,95379,1390,60,6
Pulaski,Georgia,11137,249,7,6
Cleveland,Arkansas,7956,597,5,6
Clark,Nevada,2266715,7891,1418,6
Owen,Indiana,20799,385,13,6
Trousdale,Tennessee,11284,114,7,6
Lee,Alabama,164542,607,102,6
Kankakee,Illinois,109862,676,68,6
Clear Creek,Colorado,9700,395,6,6
Greene,Alabama,8111,647,5,6
Middlesex,Connecticut,162436,369,100,6
Traverse,Minnesota,3259,573,2,6
Yankton,South Dakota,22814,521,14,6
Lebanon,Pennsylvania,141793,361,87,6
Saratoga,New York,229863,809,141,6
Rockingham,New Hampshire,309769,694,190,6
Linn,Iowa,226706,716,139,6
Winston,Mississippi,17955,607,11,6
Montgomery,Maryland,1050688,491,640,6
Montrose,Colorado,42758,2240,26,6
Dearborn,Indiana,49458,305,30,6
Fayette,Indiana,23102,215,14,6
Decatur,Georgia,26404,597,16,6
Benton,Mississippi,8259,406,5,6
Scott,Mississippi,28124,609,17,6
Clay,Alabama,13235,603,8,6
Hinds,Mississippi,231840,869,140,6
Tolland,Connecticut,150721,410,91,6
Rush,Indiana,16581,408,10,6
Pickens,Alabama,19930,881,12,6
Creek,Oklahoma,71522,950,43,6
San Francisco,California,881549,46,529,6
Santa Clara,California,1927852,1290,1148,6
Cleveland,Oklahoma,284014,538,169,6
Baltimore,Maryland,827370,598,491,6
Windham,Vermont,42222,785,25,6
Cedar,Iowa,18627,579,11,6
Jefferson,Washington,32221,1803,19,6
Delaware,New York,44135,1442,26,6
Pike,Mississippi,39288,409,23,6
Mecklenburg,North Carolina,1110356,523,650,6
Thomas,Georgia,44451,544,26,6
Osborne,Kansas,3421,892,2,6
Apache,Arizona,71887,11197,42,6
Harrison,Kentucky,18886,306,11,6
Richland,South Carolina,415759,757,242,6
Charles,Maryland,163257,457,95,6
San Juan,New Mexico,123958,5513,72,6
Baltimore city,Maryland,593490,80,343,6
Osceola,Florida,375751,1327,216,6
Ingham,Michigan,292406,556,168,6
Charles City,Virginia,6963,182,4,6
Collier,Florida,384902,1998,221,6
Lyon,Kansas,33195,847,19,6
Marion,Alabama,29709,742,17,6
Washington,Indiana,28036,513,16,6
Shelby,Alabama,217702,784,124,6
Evangeline,Louisiana,33395,662,19,6
Adams,Colorado,517421,1167,294,6
Wilson,Tennessee,144657,570,82,6
Marshall,Mississippi,35294,706,20,6
Jefferson,Alabama,658573,1111,373,6
Durham,North Carolina,321488,285,182,6
Monroe,Florida,74228,983,42,6
Kit Carson,Colorado,7097,2160,4,6
Cobb,Georgia,760141,339,428,6
Coosa,Alabama,10663,650,6,6
Ozaukee,Wisconsin,89221,233,50,6
Salt Lake,Utah,1160437,742,650,6
Berks,Pennsylvania,421164,856,235,6
Olmsted,Minnesota,158293,653,88,6
Madison,Indiana,129569,451,72,6
Inyo,California,18039,10180,10,6
Marion,Tennessee,28907,498,16,6
Howard,Maryland,325690,250,180,6
Douglas,Colorado,351154,840,194,6
Sumter,Florida,132420,546,73,6
Jackson,Mississippi,143617,722,79,6
St Landry,Louisiana,82124,923,45,5
Darke,Ohio,51113,598,28,5
Douglas,Georgia,146343,200,80,5
Oconee,Georgia,40280,184,22,5
Wayne,Pennsylvania,51361,725,28,5
Schuylkill,Pennsylvania,141359,778,77,5
Cape May,New Jersey,92039,251,50,5
Fayette,Georgia,114421,194,62,5
Daviess,Kentucky,101511,458,55,5
Saginaw,Michigan,190539,800,103,5
Chariton,Missouri,7426,751,4,5
Bacon,Georgia,11164,258,6,5
Bartholomew,Indiana,83779,406,45,5
Meagher,Montana,1862,2391,1,5
Fairfield,South Carolina,22347,686,12,5
Johnson,Missouri,54062,829,29,5
Humboldt,Nevada,16831,9640,9,5
St Clair,Michigan,159128,721,85,5
Sussex,Delaware,234225,936,125,5
Lancaster,Pennsylvania,545724,943,291,5
Osage,Oklahoma,46963,2246,25,5
Christian,Illinois,32304,709,17,5
Henrico,Virginia,330818,233,174,5
Floyd,Indiana,78522,147,41,5
Adams,Mississippi,30693,462,16,5
Washoe,Nevada,471519,6302,245,5
El Paso,Colorado,720403,2126,374,5
Franklin,Mississippi,7713,563,4,5
Clark,Indiana,118302,372,61,5
Linn,Kansas,9703,594,5,5
Marion,Oregon,347818,1182,178,5
Jackson,Michigan,158510,701,81,5
Broomfield,Colorado,70465,33,36,5
Oliver,North Dakota,1959,722,1,5
Morton,North Dakota,31364,1926,16,5
Greene,New York,47188,647,24,5
Marin,California,258826,520,131,5
Lynn,Texas,5951,891,3,5
Ware,Georgia,35734,892,18,5
Tipton,Tennessee,61599,458,31,5
Pierce,North Dakota,3975,1018,2,5
Carroll,Mississippi,9947,628,5,5
Gosper,Nebraska,1990,458,1,5
Carter,Missouri,5982,507,3,5
