2020-04-04,"Champaign","Ohio",5
2020-04-04,"Chariton","Missouri",4
2020-04-04,"Charles","Maryland",95
2020-04-04,"Charles City","Virginia",4
2020-04-04,"Charles Mix","South Dakota",2
2020-04-04,"Charleston","South Carolina",274
2020-04-04,"Charlevoix","Michigan",7
2020-04-04,"Charlotte","Florida",46
2020-04-04,"Charlotte","Virginia",1
2020-04-04,"Charlottesville","Virginia",21
2020-04-04,"Charlton","Georgia",1
2020-04-04,"Chatham","Georgia",64
2020-04-04,"Chatham","North Carolina",21
2020-04-04,"Chattahoochee","Georgia",2
2020-04-04,"Chattooga","Georgia",3
2020-04-04,"Chautauqua","Kansas",3
2020-04-04,"Chautauqua","New York",10
2020-04-04,"Chaves","New Mexico",13
2020-04-04,"Cheatham","Tennessee",12
2020-04-04,"Cheboygan","Michigan",7
2020-04-04,"Chelan","Washington",24
2020-04-04,"Chemung","New York",36
2020-04-04,"Chenango","New York",39
2020-04-04,"Cherokee","Alabama",6
2020-04-04,"Cherokee","Georgia",114
2020-04-04,"Cherokee","Kansas",5
2020-04-04,"Cherokee","North Carolina",11
2020-04-04,"Cherokee","Oklahoma",10
2020-04-04,"Cherokee","South Carolina",2
2020-04-04,"Cherokee","Texas",6
2020-04-04,"Cherry","Nebraska",1
2020-04-04,"Chesapeake","Virginia",65
2020-04-04,"Cheshire","New Hampshire",9
2020-04-04,"Chester","Pennsylvania",250
2020-04-04,"Chester","South Carolina",12
2020-04-04,"Chester","Tennessee",6
2020-04-04,"Chesterfield","South Carolina",13
2020-04-04,"Chesterfield","Virginia",106
2020-04-04,"Chickasaw","Mississippi",15
2020-04-04,"Chicot","Arkansas",2
2020-04-04,"Chilton","Alabama",15
2020-04-04,"Chippewa","Michigan",1
2020-04-04,"Chippewa","Wisconsin",14
2020-04-04,"Chisago","Minnesota",4
2020-04-04,"Chittenden","Vermont",245
2020-04-04,"Choctaw","Alabama",4
2020-04-04,"Choctaw","Mississippi",8
2020-04-04,"Choctaw","Oklahoma",2
2020-04-04,"Chowan","North Carolina",1
2020-04-04,"Christian","Illinois",17
2020-04-04,"Christian","Kentucky",23
2020-04-04,"Christian","Missouri",16
2020-04-04,"Cibola","New Mexico",11
2020-04-04,"Citrus","Florida",34
2020-04-04,"Clackamas","Oregon",66
2020-04-04,"Claiborne","Louisiana",20
2020-04-04,"Claiborne","Mississippi",1
2020-04-04,"Claiborne","Tennessee",2
2020-04-04,"Clallam","Washington",8
2020-04-04,"Clare","Michigan",1
2020-04-04,"Clarendon","South Carolina",45
2020-04-04,"Clarion","Pennsylvania",4
2020-04-04,"Clark","Arkansas",27
2020-04-04,"Clark","Illinois",2
2020-04-04,"Clark","Indiana",61
2020-04-04,"Clark","Kentucky",11
2020-04-04,"Clark","Missouri",1
2020-04-04,"Clark","Nevada",1418
2020-04-04,"Clark","Ohio",7
2020-04-04,"Clark","South Dakota",1
2020-04-04,"Clark","Washington",137
2020-04-04,"Clark","Wisconsin",6
2020-04-04,"Clarke","Alabama",6
2020-04-04,"Clarke","Georgia",60
2020-04-04,"Clarke","Mississippi",5
2020-04-04,"Clarke","Virginia",2
2020-04-04,"Clatsop","Oregon",4
2020-04-04,"Clay","Alabama",8
2020-04-04,"Clay","Florida",74
2020-04-04,"Clay","Georgia",7
2020-04-04,"Clay","Indiana",3
2020-04-04,"Clay","Iowa",2
2020-04-04,"Clay","Kansas",1
2020-04-04,"Clay","Minnesota",13
2020-04-04,"Clay","Mississippi",7
2020-04-04,"Clay","Missouri",32
2020-04-04,"Clay","North Carolina",3
2020-04-04,"Clay","South Dakota",3
2020-04-04,"Clay","Tennessee",1
2020-04-04,"Clay","Texas",1
2020-04-04,"Clayton","Georgia",224
2020-04-04,"Clayton","Iowa",3
2020-04-04,"Clear Creek","Colorado",6
2020-04-04,"Clearfield","Pennsylvania",7
2020-04-04,"Clearwater","Minnesota",2
2020-04-04,"Cleburne","Alabama",7
2020-04-04,"Cleburne","Arkansas",65
2020-04-04,"Clermont","Ohio",20
2020-04-04,"Cleveland","Arkansas",5
2020-04-04,"Cleveland","North Carolina",15
2020-04-04,"Cleveland","Oklahoma",169
2020-04-04,"Clinch","Georgia",2
2020-04-04,"Clinton","Illinois",10
2020-04-04,"Clinton","Indiana",3
2020-04-04,"Clinton","Iowa",15
2020-04-04,"Clinton","Kentucky",1
2020-04-04,"Clinton","Michigan",54
2020-04-04,"Clinton","Missouri",7
2020-04-04,"Clinton","New York",31
2020-04-04,"Clinton","Ohio",7
2020-04-04,"Clinton","Pennsylvania",1
2020-04-04,"Cloud","Kansas",1
2020-04-04,"Coahoma","Mississippi",27
2020-04-04,"Cobb","Georgia",428
2020-04-04,"Cochise","Arizona",7
2020-04-04,"Cocke","Tennessee",1
2020-04-04,"Coconino","Arizona",196
2020-04-04,"Codington","South Dakota",9
2020-04-04,"Coffee","Alabama",7
2020-04-04,"Coffee","Georgia",15
2020-04-04,"Coffee","Tennessee",4
2020-04-04,"Coffey","Kansas",23
2020-04-04,"Colbert","Alabama",5
2020-04-04,"Cole","Missouri",28
2020-04-04,"Colfax","Nebraska",1
2020-04-04,"Colleton","South Carolina",9
2020-04-04,"Collier","Florida",221
2020-04-04,"Collin","Texas",256
2020-04-04,"Colorado","Texas",2
2020-04-04,"Colquitt","Georgia",46
2020-04-04,"Columbia","Arkansas",1
2020-04-04,"Columbia","Florida",10
2020-04-04,"Columbia","Georgia",33
2020-04-04,"Columbia","New York",57
2020-04-04,"Columbia","Oregon",1
2020-04-04,"Columbia","Pennsylvania",20
2020-04-04,"Columbia","Washington",1
2020-04-04,"Columbia","Wisconsin",18
2020-04-04,"Columbiana","Ohio",36
2020-04-04,"Columbus","North Carolina",6
2020-04-04,"Colusa","California",2
2020-04-04,"Comal","Texas",21
2020-04-04,"Comanche","Oklahoma",37
2020-04-04,"Comanche","Texas",2
2020-04-04,"Concordia","Louisiana",5
2020-04-04,"Conecuh","Alabama",2
2020-04-04,"Contra Costa","California",307
2020-04-04,"Converse","Wyoming",3
2020-04-04,"Conway","Arkansas",1
2020-04-04,"Cook","Georgia",1
2020-04-04,"Cook","Illinois",7439
2020-04-04,"Cooper","Missouri",2
2020-04-04,"Coos","New Hampshire",1
2020-04-04,"Coosa","Alabama",6
2020-04-04,"Copiah","Mississippi",12
